area,bedrooms,bathrooms,location,age,parking,stories,main_road,furnishing_status,price
2205,4,3,Suburban Heights,38,3,1,Yes,Furnished,696827.21
1710,3,2,Downtown,20,1,1,Yes,Semi-Furnished,726738.15
2342,3,1,Suburban Heights,39,2,1,Yes,Furnished,661154.85
3324,5,3,Downtown,36,1,2,No,Unfurnished,1116938.73
1646,2,2,Green Valley,17,3,2,Yes,Semi-Furnished,432521.49
1646,2,1,Suburban Heights,11,1,2,Yes,Semi-Furnished,523710.77
3400,5,4,Green Valley,16,2,2,Yes,Semi-Furnished,791837.12
2457,5,4,Downtown,36,0,1,No,Semi-Furnished,915468.96
1498,1,1,West Hills,37,2,1,Yes,Semi-Furnished,467600.11
2246,3,2,Waterfront Bay,14,1,1,No,Unfurnished,881325.58
1502,3,3,Suburban Heights,6,1,1,Yes,Unfurnished,503568.1
1500,3,2,Metro Corridor,13,2,1,Yes,Semi-Furnished,459960.73
1991,3,2,Green Valley,0,3,1,Yes,Semi-Furnished,523205.84
841,1,1,Waterfront Bay,37,1,2,Yes,Unfurnished,345333.54
906,1,1,Green Valley,2,2,2,Yes,Semi-Furnished,271691.76
1443,2,1,West Hills,36,0,2,Yes,Furnished,467034.03
1205,2,1,Green Valley,30,2,2,No,Furnished,388072.84
2050,2,2,Suburban Heights,12,2,2,Yes,Unfurnished,600938.9
1257,2,1,Green Valley,17,1,2,Yes,Furnished,341141.43
1027,1,1,Metro Corridor,16,2,2,Yes,Unfurnished,343112.86
3249,5,3,Downtown,16,2,1,Yes,Furnished,1247447.56
1651,4,2,Waterfront Bay,10,1,2,Yes,Semi-Furnished,773051.93
1857,3,2,Waterfront Bay,19,2,2,Yes,Semi-Furnished,858273.34
1022,1,1,West Hills,9,0,1,Yes,Furnished,412628.12
1454,3,3,Metro Corridor,28,2,1,Yes,Semi-Furnished,444666.73
1890,3,1,Metro Corridor,33,2,1,Yes,Semi-Furnished,485624.93
1140,2,1,West Hills,16,0,2,Yes,Semi-Furnished,421885.0
2101,4,3,Suburban Heights,41,2,2,Yes,Semi-Furnished,642994.9
1421,3,3,Downtown,12,1,1,No,Furnished,700435.93
1608,2,1,Waterfront Bay,38,1,1,No,Semi-Furnished,592477.08
1421,2,1,West Hills,26,1,3,Yes,Furnished,471628.84
3792,5,4,Downtown,25,1,1,No,Semi-Furnished,1283779.81
1798,3,2,Waterfront Bay,27,2,1,No,Unfurnished,710788.52
1184,1,1,Suburban Heights,12,1,1,Yes,Semi-Furnished,375031.32
2512,4,3,Downtown,11,1,2,Yes,Semi-Furnished,992864.48
1109,2,3,Waterfront Bay,27,2,2,Yes,Semi-Furnished,619233.24
1965,4,4,Downtown,1,0,1,No,Furnished,896338.3
825,2,1,Green Valley,36,1,3,Yes,Semi-Furnished,271298.54
1062,1,2,Downtown,33,1,2,Yes,Unfurnished,393538.0
1956,3,2,Metro Corridor,22,2,1,Yes,Furnished,539416.01
2429,3,2,Downtown,28,1,2,No,Unfurnished,754938.32
1936,2,1,Metro Corridor,34,1,1,Yes,Semi-Furnished,425350.87
1726,3,2,West Hills,10,1,2,No,Furnished,579219.96
1602,2,1,Metro Corridor,32,2,1,No,Semi-Furnished,350116.71
1000,3,3,Metro Corridor,10,0,2,Yes,Semi-Furnished,421338.51
1355,2,2,West Hills,8,3,1,Yes,Furnished,601246.98
1503,1,1,Green Valley,13,2,2,Yes,Unfurnished,369783.44
2759,4,3,West Hills,8,2,1,No,Unfurnished,940680.05
2074,4,3,West Hills,38,1,2,No,Unfurnished,703058.2
893,3,2,Suburban Heights,2,1,1,No,Unfurnished,370463.03
2058,2,2,Green Valley,28,2,3,Yes,Unfurnished,459420.06
1549,1,1,Metro Corridor,18,0,2,Yes,Unfurnished,411739.48
1379,3,2,Downtown,35,0,1,Yes,Furnished,584858.74
2309,4,3,West Hills,31,1,3,Yes,Semi-Furnished,801300.24
2730,4,2,Metro Corridor,6,3,1,No,Furnished,729271.17
2624,4,2,Metro Corridor,27,2,2,Yes,Semi-Furnished,604860.39
1292,1,1,Green Valley,17,1,2,Yes,Unfurnished,499922.23
1597,2,1,Waterfront Bay,4,2,1,Yes,Furnished,697872.02
2064,3,2,Suburban Heights,22,1,3,Yes,Semi-Furnished,706057.49
2671,5,3,Suburban Heights,21,2,1,Yes,Semi-Furnished,844107.27
1492,2,1,Waterfront Bay,25,1,1,Yes,Furnished,538013.76
1678,3,3,Suburban Heights,41,2,2,No,Furnished,528730.08
1161,1,1,Suburban Heights,11,1,2,Yes,Semi-Furnished,394685.99
1120,2,1,Downtown,39,1,1,Yes,Furnished,425923.64
2502,3,2,Waterfront Bay,18,1,1,Yes,Semi-Furnished,959724.28
3110,5,3,Downtown,0,1,2,Yes,Semi-Furnished,1209846.39
1756,2,1,West Hills,2,2,1,Yes,Semi-Furnished,601724.28
2701,5,4,Suburban Heights,26,1,3,No,Furnished,845993.23
2089,4,3,Waterfront Bay,17,1,2,Yes,Semi-Furnished,993094.02
1396,2,2,Suburban Heights,29,1,1,Yes,Furnished,492672.02
2089,3,2,Downtown,1,1,1,Yes,Unfurnished,828954.6
3344,4,3,Green Valley,4,0,2,Yes,Semi-Furnished,725526.65
1782,3,2,Waterfront Bay,28,1,1,No,Unfurnished,673855.49
3380,5,3,Metro Corridor,32,1,2,Yes,Semi-Furnished,817440.38
650,3,2,Suburban Heights,41,1,3,Yes,Unfurnished,303460.11
2511,3,2,Metro Corridor,19,1,2,Yes,Semi-Furnished,627903.21
1872,4,3,Waterfront Bay,29,3,1,No,Furnished,883301.6
1604,3,3,Downtown,41,2,1,No,Semi-Furnished,641193.66
1875,3,2,Metro Corridor,4,1,2,Yes,Furnished,563116.1
816,2,2,Waterfront Bay,20,2,2,Yes,Unfurnished,473296.41
1655,3,2,West Hills,14,2,2,No,Semi-Furnished,584977.41
2085,3,2,Suburban Heights,19,1,1,No,Unfurnished,597875.93
3265,5,4,West Hills,7,2,2,Yes,Unfurnished,1120894.14
1469,3,2,Green Valley,30,0,1,Yes,Furnished,378350.39
1308,3,3,Green Valley,11,2,2,No,Semi-Furnished,405958.49
1479,2,3,Suburban Heights,20,1,2,Yes,Furnished,481586.0
2607,3,2,Suburban Heights,29,1,2,Yes,Furnished,775487.13
2062,3,2,Green Valley,26,1,1,No,Furnished,447409.45
1462,2,1,Metro Corridor,25,3,2,Yes,Unfurnished,437883.08
2220,3,2,Downtown,32,2,1,No,Semi-Furnished,783419.07
1879,4,2,West Hills,25,1,2,Yes,Semi-Furnished,640398.3
2663,4,2,Downtown,25,0,1,No,Furnished,872363.75
1365,2,1,Green Valley,35,1,1,Yes,Semi-Furnished,295174.34
1585,2,2,Downtown,39,1,1,No,Semi-Furnished,526852.55
1545,3,2,Suburban Heights,0,0,2,Yes,Semi-Furnished,497735.58
1006,1,1,West Hills,14,1,2,Yes,Furnished,389196.43
2035,3,3,Green Valley,0,2,2,Yes,Semi-Furnished,566191.22
2007,3,2,Metro Corridor,10,2,2,No,Semi-Furnished,571340.93
1811,4,2,Waterfront Bay,1,1,2,Yes,Furnished,852351.2
1646,2,1,West Hills,0,1,1,Yes,Unfurnished,510034.96
1026,1,1,Green Valley,30,3,2,Yes,Furnished,312651.44
1528,3,2,West Hills,15,2,2,Yes,Semi-Furnished,579370.13
1576,2,2,West Hills,21,2,1,Yes,Furnished,554655.02
1311,1,1,Metro Corridor,41,3,1,No,Furnished,324602.27
1695,2,2,Suburban Heights,17,2,1,Yes,Unfurnished,515763.45
2125,3,2,West Hills,16,0,1,Yes,Unfurnished,652093.48
3844,5,3,Waterfront Bay,29,1,1,No,Semi-Furnished,1357417.7
1938,2,1,Suburban Heights,9,3,1,Yes,Unfurnished,563460.71
2004,4,2,Metro Corridor,34,1,2,Yes,Unfurnished,501973.44
1754,3,2,Downtown,20,0,1,Yes,Semi-Furnished,639483.67
839,2,1,Suburban Heights,15,1,1,Yes,Unfurnished,302460.28
1788,2,3,Waterfront Bay,5,2,3,Yes,Semi-Furnished,891191.95
1852,3,2,Downtown,2,3,2,Yes,Semi-Furnished,818787.18
4800,5,3,Metro Corridor,40,1,1,No,Unfurnished,992295.82
1674,3,2,West Hills,20,1,2,Yes,Furnished,618813.21
2039,4,3,Downtown,12,2,1,Yes,Unfurnished,884291.07
1783,2,2,Suburban Heights,17,1,1,No,Furnished,557289.6
1132,2,1,Suburban Heights,23,0,1,Yes,Unfurnished,351190.54
2855,5,3,Downtown,26,3,3,No,Semi-Furnished,1034623.2
2442,5,4,Metro Corridor,3,1,2,Yes,Semi-Furnished,730357.2
2480,4,2,Suburban Heights,21,1,2,Yes,Furnished,723432.57
1256,2,1,Metro Corridor,23,2,3,Yes,Unfurnished,352853.96
3168,5,3,Downtown,39,0,3,Yes,Furnished,1100923.64
1032,2,1,Waterfront Bay,9,3,2,Yes,Semi-Furnished,611717.18
2286,4,3,Downtown,1,1,2,Yes,Semi-Furnished,971303.17
4342,5,3,Downtown,39,1,1,Yes,Furnished,1372501.08
1216,3,2,Metro Corridor,5,0,1,Yes,Unfurnished,384957.11
